runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
1,Knapsack,500,3732704,748.61,2026-08-04
2,Knapsack,500,2155250,540.27,2026-08-12
3,QuickSort,10000,4687243,687.22,2026-08-06
4,Prim,500,2243741,302.11,2026-08-14
5,Dijkstra,5000,2004728,593.97,2026-08-13
6,DFS,10000,891092,397.33,2026-08-10
7,SelectionSort,500,1643569,816.43,2026-08-14
8,MergeSort,1000,555981,180.81,2026-08-16
9,InsertionSort,5000,4655924,631.57,2026-08-06
10,InsertionSort,2000,847902,563.78,2026-08-07
11,QuickSort,2000,710770,637,2026-08-05
12,SelectionSort,10000,716673,943.89,2026-08-11
13,Knapsack,100,229497,903.28,2026-08-09
14,BinarySearch,2000,437796,805.75,2026-08-16
15,InsertionSort,500,1518484,325.5,2026-08-10
16,Knapsack,5000,3770238,258.78,2026-08-08
17,LinearSearch,5000,3032464,56.25,2026-08-03
18,DFS,500,3378960,548.57,2026-08-11
19,BFS,1000,589844,474.22,2026-08-16
20,BinarySearch,2000,4914956,169.77,2026-08-04
21,Dijkstra,1000,1647690,585.89,2026-08-02
22,SelectionSort,500,4173284,105.25,2026-08-06
23,QuickSort,100,4549121,507.7,2026-08-10
24,SelectionSort,2000,194822,744.63,2026-08-15
25,Knapsack,10000,2663496,215.71,2026-08-09
26,Knapsack,100,4156394,344.29,2026-08-08
27,InsertionSort,5000,3106158,948.06,2026-08-14
28,Dijkstra,1000,61247,861.89,2026-08-16
29,InsertionSort,1000,3072620,232.56,2026-08-04
30,MergeSort,1000,3042127,823.42,2026-08-13
