locationId,name,area,type,latitude,longitude
1,UG Main Gate,North Campus,gate,5.650653,-0.181139
2,Cluster of Schools Gate,North Campus,gate,5.654586,-0.186975
3,Dept. of Botany,North Campus,department,5.652121,-0.192542
4,School of Veterinary Medicine,Middle Campus,school,5.642269,-0.180646
5,Balme Library,Middle Campus,library,5.651129,-0.187025
6,JQB (Jones Quartey Building),Middle Campus,facility,5.652248,-0.181993
7,Legon Hall,Middle Campus,hall,5.647583,-0.188618
8,Akuafo Hall,Middle Campus,hall,5.649716,-0.186009
9,Commonwealth Hall,Middle Campus,hall,5.650902,-0.192649
10,Mensah Sarbah Hall,South Campus,hall,5.645788,-0.186443
11,Volta Hall,Middle Campus,hall,5.651862,-0.189519
12,Hilla Limann Hall,South Campus,hall,5.646196,-0.18472
13,Alexander Kwapong Hall,South Campus,hall,5.646552,-0.193888
14,International Students Hostel (ISH),South Campus,hostel,5.641573,-0.186081
15,Pentagon Hostels,Pentagon,hostel,5.657348,-0.181855
16,Okponglo Hostels,Okponglo,hostel,5.6566,-0.180609
17,Central Cafeteria,Middle Campus,dining,5.647002,-0.187135
18,Commonwealth Cafeteria,Middle Campus,dining,5.65131,-0.192583
19,Night Market,South Campus,market,5.642503,-0.186282
20,UG Bookshop,Middle Campus,retail,5.651137,-0.186665
21,UG Post Office,Middle Campus,retail,5.65091,-0.18765
22,UG Health Services,Middle Campus,health,5.640099,-0.191598
23,University of Ghana Medical Centre (UGMC),South Campus,health,5.638755,-0.186891
24,Noguchi Memorial Institute,South Campus,research,5.641857,-0.191596
25,Vice Chancellor's Lodge,Middle Campus,office,5.649597,-0.197092
26,Administration Block,Middle Campus,office,5.646218,-0.18704
27,ISSER,North Campus,research,5.654399,-0.184396
28,Institute of African Studies,Middle Campus,research,5.651131,-0.181871
29,Dept. of Computer Science,North Campus,department,5.654451,-0.183778
30,Dept. of Mathematics,North Campus,department,5.653876,-0.184413
31,Dept. of Statistics,North Campus,department,5.654023,-0.184062
32,Dept. of Physics,Middle Campus,department,5.651075,-0.185653
33,Dept. of Chemistry,North Campus,department,5.652049,-0.185701
34,Dept. of Geography & Resource Dev.,Middle Campus,department,5.651146,-0.183337
35,Dept. of Economics,Middle Campus,department,5.651127,-0.187416
36,Dept. of Political Science,North Campus,department,5.654912,-0.186417
37,Dept. of Psychology,North Campus,department,5.655086,-0.186712
38,Dept. of Sociology & Anthropology,Middle Campus,department,5.650077,-0.190133
39,Dept. of Philosophy & Classics,Middle Campus,department,5.646604,-0.194206
40,UG Business School (UGBS),North Campus,school,5.652809,-0.188627
41,School of Law,North Campus,school,5.654225,-0.18322
42,School of Public Health,South Campus,school,5.640743,-0.182875
43,School of Engineering Sciences,North Campus,school,5.655512,-0.183051
44,Language Centre,Middle Campus,school,5.649895,-0.189522
45,School of Continuing & Distance Ed.,Middle Campus,school,5.650881,-0.181166
46,UG Sports Stadium,South Campus,sports,5.644283,-0.183178
47,Sports Directorate,South Campus,office,5.647242,-0.192806
48,Legon Botanical Gardens,North Campus,leisure,5.662953,-0.187353
49,Great Hall,Middle Campus,facility,5.650618,-0.196208
50,Okponglo Gate,Okponglo,gate,5.644779,-0.18326
51,Vikings Hostel,South Campus,hostel,5.64437,-0.185657
52,Diaspora (UGEL Halls),South Campus,hostel,5.638063,-0.185021
