resourceId,type,homeLocation,capacity,availabilityStatus
1,MAINTENANCE_VAN,19,44,IN_USE
2,CLEANING_CREW,48,21,IN_USE
3,WATER_TANKER,27,36,AVAILABLE
4,SECURITY_CAR,1,23,AVAILABLE
5,GENERATOR,33,10,AVAILABLE
6,CLEANING_CREW,32,10,AVAILABLE
7,MAINTENANCE_VAN,22,48,AVAILABLE
8,MEDICAL_KIT_CART,21,42,IN_USE
9,AMBULANCE,23,9,AVAILABLE
10,UTILITY_TRUCK,4,34,AVAILABLE
11,AMBULANCE,20,40,AVAILABLE
12,MEDICAL_KIT_CART,40,21,IN_USE
13,SECURITY_CAR,40,49,AVAILABLE
14,WATER_TANKER,19,1,AVAILABLE
15,AMBULANCE,21,49,AVAILABLE
16,MEDICAL_KIT_CART,48,33,MAINTENANCE
17,SECURITY_CAR,8,4,AVAILABLE
18,CATERING_VAN,14,41,AVAILABLE
19,MEDICAL_KIT_CART,47,50,AVAILABLE
20,CATERING_VAN,38,26,AVAILABLE
21,MEDICAL_KIT_CART,12,42,AVAILABLE
22,GENERATOR,40,11,IN_USE
23,GENERATOR,4,1,MAINTENANCE
24,AMBULANCE,28,18,AVAILABLE
25,MAINTENANCE_VAN,44,40,IN_USE
26,SECURITY_CAR,13,45,AVAILABLE
27,MEDICAL_KIT_CART,30,6,AVAILABLE
28,WATER_TANKER,43,15,AVAILABLE
29,CATERING_VAN,49,8,IN_USE
30,SHUTTLE,22,26,MAINTENANCE
