roadId,fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1,36,37,0.02,0.25,1.0
2,27,30,0.037,0.07,1.0
3,20,35,0.042,0.52,1.25
4,27,29,0.043,0.08,1.0
5,3,18,0.046,0.1,1.0
6,2,36,0.061,0.15,1.053
7,30,31,0.063,0.13,1.0
8,5,20,0.063,0.41,1.104
9,1,45,0.065,0.35,1.15
10,31,41,0.068,0.15,1.0
11,1,28,0.07,0.3,1.052
12,5,21,0.097,1.22,1.02
13,17,26,0.102,0.29,1.149
14,25,49,0.121,0.24,1.217
15,9,18,0.139,0.53,1.216
16,23,52,0.155,0.32,1.15
17,5,32,0.166,2.07,1.012
18,15,16,0.168,0.34,1.059
19,6,34,0.18,1.53,1.0
20,14,19,0.206,0.36,1.095
21,20,33,0.208,0.42,1.093
22,28,34,0.213,0.43,1.0
23,13,39,0.215,0.31,1.25
24,11,40,0.224,0.64,1.102
25,10,51,0.227,1.3,1.039
26,21,44,0.257,0.9,1.069
27,5,8,0.264,0.82,1.007
28,11,44,0.267,0.64,1.1
29,38,44,0.277,0.57,1.043
30,27,43,0.279,0.58,1.02
31,30,36,0.282,0.59,1.011
32,46,50,0.283,2.33,1.397
33,7,17,0.289,0.58,1.098
34,14,23,0.299,0.61,1.15
35,10,12,0.329,2.26,1.088
36,2,40,0.34,0.73,1.018
37,4,42,0.357,3.14,1.201
38,12,50,0.36,1.97,1.141
39,10,19,0.362,2.39,1.071
40,18,38,0.369,0.71,1.235
41,13,47,0.383,0.66,1.25
42,10,26,0.383,0.83,1.071
43,7,8,0.426,2.28,1.046
44,28,32,0.449,1.72,1.002
45,19,42,0.479,3.37,1.143
46,15,43,0.504,1.01,1.031
47,38,47,0.505,1.01,1.053
48,22,24,0.615,1.28,1.199
49,3,49,0.691,1.39,1.017
50,36,48,0.772,5.53,1.117
51,13,24,0.83,1.45,1.186
52,30,43,0.315,0.65,1.018
53,19,46,0.42,0.72,1.087
54,7,26,0.33,0.75,1.132
55,15,27,0.597,3.17,1.063
56,1,34,0.28,1.98,1.013
57,27,41,0.147,0.31,1.0
58,24,39,0.897,1.52,1.191
59,19,52,0.661,1.29,1.133
60,20,32,0.229,1.1,1.0
61,2,48,0.808,5.58,1.108
62,3,25,0.701,1.39,1.021
63,21,40,0.378,0.81,1.016
64,6,45,0.322,2.61,1.156
65,1,6,0.257,2.26,1.158
66,8,21,0.304,0.62,1.075
67,27,31,0.079,0.16,1.0
68,12,46,0.395,1.06,1.11
69,9,38,0.508,1.24,1.23
70,14,52,0.455,0.93,1.15
71,33,35,0.248,0.5,1.078
72,32,33,0.262,1.18,1.074
73,28,45,0.325,1.04,1.041
74,11,38,0.339,2.17,1.025
75,37,48,0.772,5.53,1.117
76,19,51,0.388,2.03,1.043
77,3,9,0.147,0.55,1.204
78,18,25,0.747,1.49,1.02
79,29,31,0.08,0.16,1.0
80,16,43,0.594,1.19,1.01
81,29,43,0.321,0.66,1.018
82,18,49,0.738,1.49,1.016
83,39,47,0.501,0.79,1.25
84,19,23,0.506,0.97,1.128
85,8,20,0.271,0.54,1.085
86,10,17,0.43,0.84,1.06
87,12,51,0.376,2.35,1.077
88,32,35,0.224,2.25,1.046
89,30,41,0.131,0.28,1.0
90,2,37,0.061,0.15,1.053
91,16,27,0.686,3.35,1.04
92,42,46,0.565,2.22,1.091
93,6,28,0.247,2.08,1.149
94,20,21,0.165,1.52,1.063
95,29,30,0.073,0.15,1.0
96,10,50,0.407,2.81,1.146
97,4,19,0.705,2.72,1.053
98,21,35,0.166,0.33,1.0
99,21,38,0.338,3.55,1.0
100,3,38,0.372,0.73,1.0
101,5,35,0.105,0.93,1.162
102,11,21,0.274,2.04,1.031
103,19,22,1.061,1.88,1.135
104,10,22,1.036,1.96,1.139
105,30,37,0.282,0.59,1.011
106,4,46,0.762,1.51,1.026
107,2,30,0.317,0.64,1.0
