requestId,source,destination,category,urgency,timeSubmitted,deadline,status
1,20,51,ELECTRICAL,3,2026-08-12 17:39:00,2026-08-14 02:39:00,ASSIGNED
2,28,51,SECURITY,1,2026-08-06 19:14:00,2026-08-09 21:14:00,PENDING
3,8,18,MEDICAL,5,2026-08-08 16:57:00,2026-08-10 07:57:00,IN_PROGRESS
4,25,49,CATERING,4,2026-08-12 16:57:00,2026-08-14 05:57:00,ASSIGNED
5,50,15,MAINTENANCE,4,2026-08-07 13:12:00,2026-08-09 16:12:00,IN_PROGRESS
6,48,3,MAINTENANCE,1,2026-08-04 15:35:00,2026-08-06 22:35:00,PENDING
7,37,11,IT_SUPPORT,5,2026-08-01 06:47:00,2026-08-03 19:47:00,PENDING
8,14,25,CLEANING,4,2026-08-04 18:08:00,2026-08-06 06:08:00,PENDING
9,27,20,MEDICAL,1,2026-08-10 12:44:00,2026-08-12 23:44:00,PENDING
10,5,19,MEDICAL,3,2026-08-12 17:36:00,2026-08-13 07:36:00,ASSIGNED
11,38,43,PLUMBING,5,2026-08-05 12:37:00,2026-08-07 07:37:00,ASSIGNED
12,26,4,TRANSPORT,2,2026-08-09 10:54:00,2026-08-11 16:54:00,COMPLETED
13,17,50,CLEANING,1,2026-08-14 09:54:00,2026-08-17 20:54:00,PENDING
14,45,47,MAINTENANCE,2,2026-08-11 11:23:00,2026-08-14 17:23:00,COMPLETED
15,9,32,TRANSPORT,4,2026-08-01 09:57:00,2026-08-04 19:57:00,COMPLETED
16,4,3,PLUMBING,1,2026-08-07 19:34:00,2026-08-10 04:34:00,PENDING
17,38,37,CLEANING,1,2026-08-10 08:55:00,2026-08-13 02:55:00,CANCELLED
18,28,36,TRANSPORT,5,2026-08-03 16:51:00,2026-08-06 19:51:00,COMPLETED
19,16,48,CLEANING,4,2026-08-03 18:53:00,2026-08-04 13:53:00,COMPLETED
20,43,31,CLEANING,1,2026-08-02 13:11:00,2026-08-05 16:11:00,COMPLETED
21,18,51,MAINTENANCE,3,2026-08-05 11:00:00,2026-08-06 07:00:00,COMPLETED
22,1,43,WATER,4,2026-08-14 17:15:00,2026-08-17 14:15:00,COMPLETED
23,16,43,MAINTENANCE,1,2026-08-02 19:11:00,2026-08-03 12:11:00,COMPLETED
24,27,48,WATER,2,2026-08-05 10:47:00,2026-08-08 18:47:00,COMPLETED
25,43,39,MEDICAL,1,2026-08-13 20:51:00,2026-08-16 00:51:00,PENDING
26,12,23,PLUMBING,2,2026-08-09 13:51:00,2026-08-10 22:51:00,ASSIGNED
